"Sp","Spaces","Uniclass2"
"Sp_25_30_63","Physical Chemistry Laboratories","Sp_25_30"
"Sp_25_30_65","Physical Sciences Laboratories","Sp_25_30"
"Sp_25_30_66","Physics Teaching Laboratories","Sp_25_30"
"Sp_25_30_68","Psychology Laboratories","Sp_25_30"
"Sp_25_30_80","Solar Observatory Rooms","Sp_25_30"
"Sp_25_30_90","Toxicology Laboratories","Sp_25_30"
"Sp_25_30_96","Wet Laboratories","Sp_25_30"
"Sp_25_35","Scientific Ancillary Spaces","Sp_25"
"Sp_25_35_02","Anechoic Chambers","Sp_25_35"
"Sp_25_35_03","Animal Holding Rooms","Sp_25_35"
"Sp_25_35_05","Autoclave Rooms","Sp_25_35"
"Sp_25_35_06","Bioscience Equipment Rooms","Sp_25_35"
"Sp_25_35_08","Blood Banks","Sp_25_35"
"Sp_25_35_14","Chemicals Stores","Sp_25_35"
"Sp_25_35_16","Clean Rooms","Sp_25_35"
"Sp_25_35_18","Computer Rooms","Sp_25_35"
"Sp_25_35_19","Containment Rooms","Sp_25_35"
"Sp_25_35_21","Dark Rooms","Sp_25_35"
"Sp_25_35_28","Experiment Control Rooms","Sp_25_35"
"Sp_25_35_29","Flammable Chemical Stores","Sp_25_35"
"Sp_25_35_30","Flow Cytometry Rooms","Sp_25_35"
"Sp_25_35_36","Hyperbaric Chambers","Sp_25_35"
"Sp_25_35_42","Instrument Rooms","Sp_25_35"
"Sp_25_35_46","Laboratory Cold Rooms","Sp_25_35"
"Sp_25_35_47","Laboratory Warm Rooms","Sp_25_35"
"Sp_25_35_70","Radiation Shielded Rooms","Sp_25_35"
"Sp_25_35_76","Seismograph Rooms","Sp_25_35"
"Sp_25_35_88","Tissue Culture Rooms","Sp_25_35"
"Sp_25_50","Exhibition Spaces","Sp_25"
"Sp_25_50_04","Art Galleries","Sp_25_50"
"Sp_25_50_15","Collection Exhibition Spaces","Sp_25_50"
"Sp_25_50_16","Conservation Rooms","Sp_25_50"
"Sp_25_50_21","Diorama Rooms","Sp_25_50"
"Sp_25_50_22","Display Aquaria","Sp_25_50"
"Sp_25_50_23","Display Aviaries","Sp_25_50"
"Sp_25_50_24","Display Cages","Sp_25_50"
"Sp_25_50_25","Display Enclosures","Sp_25_50"
"Sp_25_50_26","Display Pools","Sp_25_50"
"Sp_25_50_29","Fauna Exhibition Spaces","Sp_25_50"
"Sp_25_50_31","Flora Exhibition Spaces","Sp_25_50"
"Sp_25_50_55","Multipurpose Exhibition Spaces","Sp_25_50"
"Sp_25_50_63","Planetaria","Sp_25_50"
"Sp_25_50_66","Product Display Spaces","Sp_25_50"
"Sp_25_50_67","Product Display Stands","Sp_25_50"
"Sp_25_50_73","Sculpture Galleries","Sp_25_50"
"Sp_25_50_74","Sculpture Gardens","Sp_25_50"
"Sp_25_50_87","Temporary Exhibition Booths","Sp_25_50"
"Sp_25_50_88","Temporary Exhibition Spaces","Sp_25_50"
"Sp_25_50_90","Touching Pools","Sp_25_50"
"Sp_25_50_93","Underwater Viewing Spaces","Sp_25_50"
"Sp_25_50_94","Viewing Platforms","Sp_25_50"
"Sp_25_50_95","Viewing Walkways","Sp_25_50"
"Sp_25_70","Information Spaces","Sp_25"
"Sp_25_70_04","Archives","Sp_25_70"
"Sp_25_70_05","Audio-Visual Study Rooms","Sp_25_70"
"Sp_25_70_08","Borrowing And Return Counters","Sp_25_70"
"Sp_25_70_11","Catalogue Areas","Sp_25_70"
"Sp_25_70_15","Conference Auditoria","Sp_25_70"
"Sp_25_70_16","Conference Rooms","Sp_25_70"
"Sp_25_70_18","Conservation Rooms","Sp_25_70"
"Sp_25_70_23","Drawing Study Rooms","Sp_25_70"
"Sp_25_70_27","Enquiry Areas","Sp_25_70"
"Sp_25_70_30","Film Storage Vaults","Sp_25_70"
"Sp_25_70_46","Lending Areas","Sp_25_70"
"Sp_25_70_47","Library Stacks","Sp_25_70"
"Sp_25_70_50","Map Rooms","Sp_25_70"
"Sp_25_70_56","Newspaper Reading Rooms","Sp_25_70"
"Sp_25_70_62","Photocopying Rooms","Sp_25_70"
"Sp_25_70_63","Photograph Study Rooms","Sp_25_70"
"Sp_25_70_71","Reading Rooms","Sp_25_70"
"Sp_25_70_72","Reference Areas","Sp_25_70"
"Sp_25_70_82","Study Areas","Sp_25_70"
"Sp_25_90","Worship Spaces","Sp_25"
"Sp_25_90_01","Aisles","Sp_25_90"
"Sp_25_90_03","Altars","Sp_25_90"
"Sp_25_90_05","Arks","Sp_25_90"
"Sp_25_90_06","Baptisteries","Sp_25_90"
"Sp_25_90_08","Bimahs","Sp_25_90"
"Sp_25_90_09","Blessing Spaces","Sp_25_90"
"Sp_25_90_12","Ceremonial Spaces","Sp_25_90"
"Sp_25_90_14","Chancels","Sp_25_90"
"Sp_25_90_15","Chapels","Sp_25_90"
"Sp_25_90_16","Choir Lofts","Sp_25_90"
"Sp_25_90_17","Choirs","Sp_25_90"
"Sp_25_90_52","Meditation Rooms","Sp_25_90"
"Sp_25_90_53","Men’s Prayer Rooms","Sp_25_90"
"Sp_25_90_54","Mihrabs","Sp_25_90"
"Sp_25_90_55","Multidenominational Chapels","Sp_25_90"
"Sp_25_90_56","Naves","Sp_25_90"
"Sp_25_90_66","Procession Spaces","Sp_25_90"
"Sp_25_90_68","Pulpits","Sp_25_90"
"Sp_25_90_72","Reflection Spaces","Sp_25_90"
"Sp_25_90_75","Sacramental Spaces","Sp_25_90"
"Sp_25_90_77","Side Chapels","Sp_25_90"
"Sp_25_90_87","Tabernacles","Sp_25_90"
"Sp_25_90_90","Transepts","Sp_25_90"
"Sp_25_90_97","Women’s Prayer Rooms","Sp_25_90"
"Sp_25_95","Worship Ancillary Spaces","Sp_25"
"Sp_25_95_07","Belfries","Sp_25_95"
"Sp_25_95_08","Bell Ringing Spaces","Sp_25_95"
"Sp_25_95_12","Chapter Houses","Sp_25_95"
"Sp_25_95_13","Circumcision Rooms","Sp_25_95"
"Sp_25_95_14","Cloisters","Sp_25_95"
"Sp_25_95_15","Confessionals","Sp_25_95"
"Sp_25_95_18","Crypts","Sp_25_95"
"Sp_25_95_33","Galleries","Sp_25_95"
"Sp_25_95_50","Marriage Sanctuaries","Sp_25_95"
"Sp_25_95_75","Sanctuaries","Sp_25_95"
"Sp_25_95_90","Treasuries","Sp_25_95"
"Sp_25_95_94","Vestries","Sp_25_95"
"Sp_30","Industrial Spaces","Sp"
"Sp_30_10","Mineral Extraction Spaces","Sp_30"
"Sp_30_10_28","Explosives Store Rooms","Sp_30_10"
"Sp_30_10_52","Mineral Storage Spaces","Sp_30_10"
"Sp_30_10_57","Offshore Oil And Gas Drilling Areas","Sp_30_10"
"Sp_30_10_58","Oil And Gas Storage Spaces","Sp_30_10"
"Sp_30_10_59","Onshore Oil And Gas Drilling Areas","Sp_30_10"
"Sp_30_10_60","Opencast Mines","Sp_30_10"
"Sp_30_10_69","Quarries","Sp_30_10"
"Sp_30_10_85","Surface Mining Areas","Sp_30_10"
"Sp_30_10_91","Underground Mine Chambers","Sp_30_10"
"Sp_30_10_92","Underground Mine Hoist Control Rooms","Sp_30_10"
"Sp_30_10_93","Underground Mine Shafts","Sp_30_10"
"Sp_30_10_94","Underground Mine Tunnels","Sp_30_10"
"Sp_30_20","Agricultural Spaces","Sp_30"
"Sp_30_20_11","Cages","Sp_30_20"
"Sp_30_20_12","Cattle Byres","Sp_30_20"
"Sp_30_20_18","Crofts","Sp_30_20"
"Sp_30_20_24","Dungsteads","Sp_30_20"
"Sp_30_20_25","Farm Effluent Tanks","Sp_30_20"
"Sp_30_20_26","Farm Shops","Sp_30_20"
"Sp_30_20_27","Feed Stores","Sp_30_20"
"Sp_30_20_28","Fields","Sp_30_20"
"Sp_30_20_29","Fish Cultivation Aquaria","Sp_30_20"
"Sp_30_20_30","Fisheries","Sp_30_20"
"Sp_30_20_31","Forests","Sp_30_20"
"Sp_30_20_34","Glasshouse Spaces","Sp_30_20"
"Sp_30_20_35","Grain Hoppers","Sp_30_20"
"Sp_30_20_36","Grain Stores","Sp_30_20"
"Sp_30_20_39","Hothouse Spaces","Sp_30_20"
"Sp_30_20_47","Livestock Ranges","Sp_30_20"
"Sp_30_20_52","Milking Parlours","Sp_30_20"
"Sp_30_20_55","Mushroom Cultivation Spaces","Sp_30_20"
"Sp_30_20_60","Paddocks","Sp_30_20"
"Sp_30_20_62","Pens","Sp_30_20"
"Sp_30_20_64","Plant Nurseries","Sp_30_20"
"Sp_30_20_65","Plant Nursery Spaces","Sp_30_20"
"Sp_30_20_66","Poultry Batteries","Sp_30_20"
"Sp_30_20_77","Shearing Spaces","Sp_30_20"
"Sp_30_20_78","Sheep Dips","Sp_30_20"
"Sp_30_20_80","Slurry Tanks","Sp_30_20"
"Sp_30_20_83","Stables","Sp_30_20"
"Sp_30_20_84","Stalls","Sp_30_20"
"Sp_30_20_85","Sties","Sp_30_20"
"Sp_30_20_99","Yards","Sp_30_20"
"Sp_30_30","Mineral Processing Spaces","Sp_30"
"Sp_30_30_58","Ore Processing Spaces","Sp_30_30"
"Sp_30_30_59","Oil And Gas Processing Spaces","Sp_30_30"
"Sp_30_40","Agricultural Processing Spaces","Sp_30"
"Sp_30_40_06","Baking Rooms","Sp_30_40"
"Sp_30_40_07","Bottling Rooms","Sp_30_40"
"Sp_30_40_09","Brewing Rooms","Sp_30_40"
"Sp_30_40_10","Butter-Making Rooms","Sp_30_40"
"Sp_30_40_11","Canning Rooms","Sp_30_40"
"Sp_30_40_12","Carcase Cold Rooms","Sp_30_40"
"Sp_30_40_13","Carcase Processing Rooms","Sp_30_40"
"Sp_30_40_18","Cheese Maturation Rooms","Sp_30_40"
"Sp_30_40_22","Distillery Spaces","Sp_30_40"
"Sp_30_40_29","Factory Shops","Sp_30_40"
"Sp_30_40_30","Fish Processing Rooms","Sp_30_40"
"Sp_30_40_31","Fish Smoking Rooms","Sp_30_40"
"Sp_30_40_32","Fresh Fruit Packing Rooms","Sp_30_40"
"Sp_30_40_33","Fresh Vegetable Packing Rooms","Sp_30_40"
"Sp_30_40_44","Juicing Rooms","Sp_30_40"
"Sp_30_40_46","Leather Tanning Rooms","Sp_30_40"
"Sp_30_40_52","Meat Smoking Rooms","Sp_30_40"
"Sp_30_40_53","Micro-Brewing Rooms","Sp_30_40"
"Sp_30_40_54","Milk Processing Rooms","Sp_30_40"
"Sp_30_40_65","Poultry Processing Rooms","Sp_30_40"
"Sp_30_40_75","Sawing Rooms","Sp_30_40"
"Sp_30_40_80","Slaughter Rooms","Sp_30_40"
"Sp_30_40_88","Threshing Rooms","Sp_30_40"
"Sp_30_40_90","Tobacco Drying Rooms","Sp_30_40"
"Sp_30_40_96","Winery Spaces","Sp_30_40"
"Sp_30_40_98","Wool Sorting Rooms","Sp_30_40"
"Sp_30_50","Manufacturing Spaces","Sp_30"
"Sp_30_50_06","Batching Spaces","Sp_30_50"
"Sp_30_50_08","Brick Firing Kilns","Sp_30_50"
"Sp_30_50_11","Ceramic Firing Ovens","Sp_30_50"
"Sp_30_50_27","Electronics Clean Rooms","Sp_30_50"
"Sp_30_50_29","Factory Shops","Sp_30_50"
"Sp_30_50_30","Finished Vehicle Storage Spaces","Sp_30_50"
"Sp_30_50_53","Mixing Bins","Sp_30_50"
"Sp_30_50_60","Packaging Lines","Sp_30_50"
"Sp_30_50_62","Pharmaceuticals Clean Rooms","Sp_30_50"
"Sp_30_50_64","Printing Spaces","Sp_30_50"
"Sp_30_50_66","Production Service And Repair Spaces","Sp_30_50"
"Sp_30_50_69","Quality Control Spaces","Sp_30_50"
"Sp_30_50_70","Raw Materials Storage Silos","Sp_30_50"
"Sp_30_50_71","Raw Materials Storage Spaces","Sp_30_50"
"Sp_30_50_72","Raw Materials Storage Tanks","Sp_30_50"
"Sp_30_50_77","Sheltered Workshops","Sp_30_50"
"Sp_30_50_80","Spray Booths","Sp_30_50"
"Sp_30_50_90","Vehicle Finishing Spaces ","Sp_30_50"
"Sp_30_50_91","Waste Gas Storage Spaces","Sp_30_50"
"Sp_30_50_92","Waste Gas Treatment Spaces","Sp_30_50"
"Sp_30_50_93","Waste Liquids Storage Spaces","Sp_30_50"
"Sp_30_50_94","Waste Liquids Treatment Spaces","Sp_30_50"
"Sp_30_50_95","Waste Solids Storage Spaces","Sp_30_50"
"Sp_30_50_96","Waste Solids Treatment Spaces","Sp_30_50"
"Sp_30_50_97","Waste Water Treatment Spaces","Sp_30_50"
"Sp_30_50_98","Workbench Spaces","Sp_30_50"
"Sp_30_60","Cleaning And Maintenance Spaces","Sp_30"
"Sp_30_60_15","Commercial Laundries","Sp_30_60"
"Sp_30_60_23","Domestic Laundries","Sp_30_60"
"Sp_30_60_25","Drying And Airing Rooms","Sp_30_60"
"Sp_30_60_46","Laundrettes","Sp_30_60"
"Sp_30_90","Warehousing And Distribution Spaces","Sp_30"
"Sp_30_90_10","Builder’s Yards","Sp_30_90"
"Sp_30_90_29","Factory Seconds Outlets","Sp_30_90"
"Sp_30_90_48","Loading Docks","Sp_30_90"
"Sp_30_90_50","Maintenance Depots","Sp_30_90"
"Sp_30_90_65","Road Salt Stores","Sp_30_90"
"Sp_30_90_80","Sorting And Distribution Spaces","Sp_30_90"
"Sp_30_90_96","Warehouse Spaces","Sp_30_90"
"Sp_30_95","Storage Spaces","Sp_30"
"Sp_30_95_04","Attics","Sp_30_95"
"Sp_30_95_12","Cellars","Sp_30_95"
"Sp_30_95_14","Cloak Rooms","Sp_30_95"
"Sp_30_95_15","Cold Store Rooms","Sp_30_95"
"Sp_30_95_33","Goods Delivery Bays","Sp_30_95"
"Sp_30_95_34","Goods Stores","Sp_30_95"
"Sp_30_95_35","Goods Warehouses","Sp_30_95"
"Sp_30_95_36","Hazardous Waste Storage Spaces","Sp_30_95"
"Sp_30_95_47","Left Luggage Rooms","Sp_30_95"
"Sp_30_95_59","Outdoor Storage Spaces","Sp_30_95"
"Sp_30_95_77","Secure Store Rooms","Sp_30_95"
"Sp_30_95_80","Small Shed Spaces","Sp_30_95"
"Sp_30_95_85","Stock Rooms","Sp_30_95"
"Sp_30_95_86","Storerooms","Sp_30_95"
"Sp_30_95_94","Vaults","Sp_30_95"
"Sp_30_95_96","Waste Storage Spaces","Sp_30_95"
"Sp_35","Medical, Health, Welfare And Sanitary Spaces","Sp"
"Sp_35_10","Medical Spaces","Sp_35"
"Sp_35_10_01","Accident And Emergency Waiting Rooms","Sp_35_10"
