"Pr_20_29_56_93","Upholstery Nails","Pr_20_29_56"
"Pr_20_29_57_01","Acorn Nuts","Pr_20_29_57"
"Pr_20_29_57_02","Aerotite Nuts","Pr_20_29_57"
"Pr_20_29_57_11","Cage Nuts","Pr_20_29_57"
"Pr_20_29_57_12","Captive Nuts","Pr_20_29_57"
"Pr_20_29_57_13","Castle Nuts","Pr_20_29_57"
"Pr_20_29_57_23","Dome (cap) Nuts","Pr_20_29_57"
"Pr_20_29_57_30","Flange Nuts","Pr_20_29_57"
"Pr_20_29_57_36","Half Nuts","Pr_20_29_57"
"Pr_20_29_57_37","Heavy Hex Nuts","Pr_20_29_57"
"Pr_20_29_57_38","Hex Nuts","Pr_20_29_57"
"Pr_20_29_57_44","Jam Nuts","Pr_20_29_57"
"Pr_20_29_57_45","K-Lock Nuts","Pr_20_29_57"
"Pr_20_29_57_50","Manifold Nuts","Pr_20_29_57"
"Pr_20_29_57_56","Nylon-Insert Jam Nuts","Pr_20_29_57"
"Pr_20_29_57_57","Nylon-Insert Lock Nuts","Pr_20_29_57"
"Pr_20_29_57_66","Prevailing Torque Lock Nuts","Pr_20_29_57"
"Pr_20_29_57_76","Serrated Flange Nuts","Pr_20_29_57"
"Pr_20_29_57_80","Slotted Nuts","Pr_20_29_57"
"Pr_20_29_57_83","Square Nuts","Pr_20_29_57"
"Pr_20_29_57_84","Stover Nuts","Pr_20_29_57"
"Pr_20_29_57_85","Stud Connector (coupling) Nuts","Pr_20_29_57"
"Pr_20_29_57_88","Tee Nuts","Pr_20_29_57"
"Pr_20_29_57_96","Wing Nuts","Pr_20_29_57"
"Pr_20_29_60","Packings And Spacers","Pr_20_29"
"Pr_20_29_60_30","Flat Jacks","Pr_20_29_60"
"Pr_20_29_60_31","Formwork Cover Spacers","Pr_20_29_60"
"Pr_20_29_60_36","Hardwood Packs","Pr_20_29_60"
"Pr_20_29_60_37","Hardwood Wedges","Pr_20_29_60"
"Pr_20_29_60_60","Packings","Pr_20_29_60"
"Pr_20_29_60_77","Shims And Folding Wedges","Pr_20_29_60"
"Pr_20_29_60_81","Softwood Packs","Pr_20_29_60"
"Pr_20_29_60_82","Softwood Wedges","Pr_20_29_60"
"Pr_20_29_63","Plugs","Pr_20_29"
"Pr_20_29_63_50","Masonry Plugs","Pr_20_29_63"
"Pr_20_29_63_63","Plastics Plugs","Pr_20_29_63"
"Pr_20_29_63_84","Studded Cavity Drainage Membrane Plugs","Pr_20_29_63"
"Pr_20_29_63_85","Surface Plugs And Pellets","Pr_20_29_63"
"Pr_20_29_71","Rivets","Pr_20_29"
"Pr_20_29_71_08","Blind (pop) Rivets","Pr_20_29_71"
"Pr_20_29_71_24","Drive Rivets","Pr_20_29_71"
"Pr_20_29_71_30","Flush Rivets","Pr_20_29_71"
"Pr_20_29_71_31","Friction-Lock Rivets","Pr_20_29_71"
"Pr_20_29_71_59","Oscar Rivets","Pr_20_29_71"
"Pr_20_29_71_76","Self-Pierce Rivets","Pr_20_29_71"
"Pr_20_29_71_77","Semi-Tubular Rivets","Pr_20_29_71"
"Pr_20_29_71_81","Solid Rivets","Pr_20_29_71"
"Pr_20_29_76","Screws","Pr_20_29"
"Pr_20_29_76_28","Eye Lags","Pr_20_29_76"
"Pr_20_29_76_50","Machine Screws","Pr_20_29_76"
"Pr_20_29_76_76","Self-Drilling Sheet Metal Screws","Pr_20_29_76"
"Pr_20_29_76_77","Set Screws","Pr_20_29_76"
"Pr_20_29_76_78","Sheet Metal Screws","Pr_20_29_76"
"Pr_20_29_76_81","Socket Screws","Pr_20_29_76"
"Pr_20_29_76_88","Thread-Cutting Machine Screws","Pr_20_29_76"
"Pr_20_29_76_98","Wood Screws","Pr_20_29_76"
"Pr_20_29_81","Soil Nails","Pr_20_29"
"Pr_20_29_81_11","Carbon Steel Soil Nails","Pr_20_29_81"
"Pr_20_29_81_63","Plastics Soil Nails","Pr_20_29_81"
"Pr_20_29_81_84","Stainless Steel Soil Nails","Pr_20_29_81"
"Pr_20_29_87","Thatch Roofing Fasteners","Pr_20_29"
"Pr_20_29_87_36","Hazel Staples","Pr_20_29_87"
"Pr_20_29_87_37","Hazel Sways","Pr_20_29_87"
"Pr_20_29_87_52","Metal Sways","Pr_20_29_87"
"Pr_20_29_87_87","Thatching Hooks","Pr_20_29_87"
"Pr_20_29_87_96","Willow Sways","Pr_20_29_87"
"Pr_20_29_88","Tile And Fabric Roofing Fasteners","Pr_20_29"
"Pr_20_29_88_31","Forked Roofing Connectors","Pr_20_29_88"
"Pr_20_29_88_37","Hip Irons","Pr_20_29_88"
"Pr_20_29_88_42","Insulation Fixing Spikes","Pr_20_29_88"
"Pr_20_29_88_59","Overlay Fasteners","Pr_20_29_88"
"Pr_20_29_88_73","Roofing Corner Plates","Pr_20_29_88"
"Pr_20_29_96","Washers","Pr_20_29"
"Pr_20_29_96_17","Crinkle Washers","Pr_20_29_96"
"Pr_20_29_96_20","Cup (finishing) Washers","Pr_20_29_96"
"Pr_20_29_96_28","External Tooth Lock (shake-proof) Washers","Pr_20_29_96"
"Pr_20_29_96_29","Fender Washers","Pr_20_29_96"
"Pr_20_29_96_30","Fibre Washers","Pr_20_29_96"
"Pr_20_29_96_31","Flat Washers","Pr_20_29_96"
"Pr_20_29_96_42","Internal Tooth Lock (shake-proof) Washers","Pr_20_29_96"
"Pr_20_29_96_58","Ogee Washers","Pr_20_29_96"
"Pr_20_29_96_59","Open Push-On Retainers","Pr_20_29_96"
"Pr_20_29_96_61","Penny (dock) Washers","Pr_20_29_96"
"Pr_20_29_96_63","Plate (square) Washers","Pr_20_29_96"
"Pr_20_29_96_76","Sealing Washers","Pr_20_29_96"
"Pr_20_29_96_84","Sprung (split Lock) Washers","Pr_20_29_96"
"Pr_20_29_97","Welding Joint Fillers","Pr_20_29"
"Pr_20_29_97_09","Brazing Joint Fillers","Pr_20_29_97"
"Pr_20_29_97_26","Electric Welding Joint Fillers","Pr_20_29_97"
"Pr_20_29_97_33","Gas Welding Joint Fillers","Pr_20_29_97"
"Pr_20_29_97_81","Soldering Joint Fillers","Pr_20_29_97"
"Pr_20_29- 57","Nuts","Pr_20_29-"
"Pr_20_31","Formless Structure And General Products","Pr_20"
"Pr_20_31_02","Adhesives And Bonding Compounds","Pr_20_31"
"Pr_20_31_02_02","Acrylic Anaerobic Adhesives","Pr_20_31_02"
"Pr_20_31_02_03","Acrylic And Methacrylate Adhesives","Pr_20_31_02"
"Pr_20_31_02_04","All-Purpose Pastes","Pr_20_31_02"
"Pr_20_31_02_06","Bio-Resin Adhesives","Pr_20_31_02"
"Pr_20_31_02_07","Bitumen Bonding Compounds","Pr_20_31_02"
"Pr_20_31_02_08","Bitumen-Based Bonding Compounds","Pr_20_31_02"
"Pr_20_31_02_09","Bitumen Rubber Emulsion Adhesives","Pr_20_31_02"
"Pr_20_31_02_11","Casein Adhesives","Pr_20_31_02"
"Pr_20_31_02_12","Cementitious Adhesives","Pr_20_31_02"
"Pr_20_31_02_15","Cold-Applied Bitumen Bonding Compounds","Pr_20_31_02"
"Pr_20_31_02_16","Cementitious Bonding Compounds","Pr_20_31_02"
"Pr_20_31_02_18","Cold Water Pastes","Pr_20_31_02"
"Pr_20_31_02_21","Damp-Proof Course Joint Sealer Adhesives","Pr_20_31_02"
"Pr_20_31_02_26","Epoxy Resin-Based Adhesives","Pr_20_31_02"
"Pr_20_31_02_28","Epoxy Resin-Based Bonding Compounds","Pr_20_31_02"
"Pr_20_31_02_33","Gilding Size","Pr_20_31_02"
"Pr_20_31_02_35","Gypsum-Based Adhesives","Pr_20_31_02"
"Pr_20_31_02_36","Heavy Duty Pastes","Pr_20_31_02"
"Pr_20_31_02_37","Hot-Applied Bitumen Bonding Compounds","Pr_20_31_02"
"Pr_20_31_02_38","High-Performance Ready-Mixed Adhesives","Pr_20_31_02"
"Pr_20_31_02_52","Modified Silane (MS) Polymer Adhesives","Pr_20_31_02"
"Pr_20_31_02_56","Natural Rubber-Based And Latex Adhesives","Pr_20_31_02"
"Pr_20_31_02_57","Non Bitumen-Based Bonding Compounds","Pr_20_31_02"
"Pr_20_31_02_59","Overlap And Border Adhesives","Pr_20_31_02"
"Pr_20_31_02_60","Parchment Size","Pr_20_31_02"
"Pr_20_31_02_62","Phenolic, Resorcinolic And Formaldehyde-Based Resin (PRF) Thermosetting Adhesives","Pr_20_31_02"
"Pr_20_31_02_63","Polyurethane (PUR) Adhesives","Pr_20_31_02"
"Pr_20_31_02_64","Polyurethane (PUR)-based Resin Binders","Pr_20_31_02"
"Pr_20_31_02_65","Polyvinyl Acetate (PVAc) Adhesives","Pr_20_31_02"
"Pr_20_31_02_66","Polyvinyl Acetate (PVAc) Bonding Compounds","Pr_20_31_02"
"Pr_20_31_02_80","Solvent-Based Synthetic Rubber Resin Adhesives","Pr_20_31_02"
"Pr_20_31_02_81","Solvent-Free Cellulose Adhesives","Pr_20_31_02"
"Pr_20_31_02_82","Solvent-Free Synthetic Rubber Resin Adhesives","Pr_20_31_02"
"Pr_20_31_02_83","Solvent Welding Cement","Pr_20_31_02"
"Pr_20_31_02_84","Styrene Butadiene Rubber (SBR) Bonding Compounds","Pr_20_31_02"
"Pr_20_31_02_85","Synthetic Bonding Compounds","Pr_20_31_02"
"Pr_20_31_02_94","Vermiculite-Based Adhesives","Pr_20_31_02"
"Pr_20_31_02_95","Vinyl Adhesives","Pr_20_31_02"
"Pr_20_31_02_97","Welding Paste And Solvents","Pr_20_31_02"
"Pr_20_31_03","Aggregates","Pr_20_31"
"Pr_20_31_03_04","Armourstone Coarse Aggregates","Pr_20_31_03"
"Pr_20_31_03_05","Barytes Aggregates","Pr_20_31_03"
"Pr_20_31_03_06","Base, Bed And Fill All-In Aggregates ","Pr_20_31_03"
"Pr_20_31_03_07","Base, Bed And Fill Coarse Aggregates ","Pr_20_31_03"
"Pr_20_31_03_08","Base, Bed And Fill Fine Aggregates","Pr_20_31_03"
"Pr_20_31_03_09","Blinding Coarse Aggregates","Pr_20_31_03"
"Pr_20_31_03_10","Blinding Fine Aggregates","Pr_20_31_03"
"Pr_20_31_03_11","Bonded Surfacing Decorative Aggregates","Pr_20_31_03"
"Pr_20_31_03_13","Coarse General Aggregates","Pr_20_31_03"
